[2.74 - 3.62] 各位就是
[1102.04 - 1102.88] 然後一秒
[1102.88 - 1103.20] 一秒
[1103.20 - 1103.64] 好
[1104.86 - 1105.30] 好
[1110.76 - 1112.08] 可能你對於
[1112.08 - 1112.88] 這個內容
[1112.88 - 1113.88] 在消化一下
[1113.88 - 1115.18] 講得自然一點
[1115.18 - 1115.82] 好
[1115.82 - 1116.80] 有一些重點講
[1116.80 - 1117.52] 我就好像
[1117.52 - 1118.70] 剛才那個
[1120.06 - 1121.54] 人員市長那一塊
[1121.54 - 1122.74] 我們整個專案
[1122.74 - 1123.50] 有分級的
[1123.50 - 1124.84] 專案者
[1124.84 - 1126.06] 在上去那一個
[1126.06 - 1126.36] 對
[1127.02 - 1128.26] 我就會比較簡單
[1128.26 - 1128.62] 就是
[1128.62 - 1129.98] 我們的專案人員
[1129.98 - 1131.28] 主要分級大象
[1131.74 - 1132.44] 大象
[1134.72 - 1135.52] 那三次
[1135.52 - 1136.48] 主要的專案動招
[1137.76 - 1138.84] 負責的內容
[1138.84 - 1140.28] 可能招特殊的是
[1141.44 - 1142.34] 這個專案中
[1142.34 - 1143.38] 要需求的變革
[1143.38 - 1144.78] 必須要請專案
[1144.78 - 1146.46] 同招出來做一些主策
[1146.98 - 1147.20] 對
[1147.72 - 1148.96] 然後如果真的有
[1148.96 - 1150.50] 加大的專案執行
[1150.50 - 1151.60] 過程中的衝突
[1151.60 - 1152.04] 要問
[1152.04 - 1153.40] 請專案
[1153.40 - 1154.12] 同招出來
[1154.12 - 1154.82] 做寫
[1154.82 - 1155.94] 寫法會部分
[1156.46 - 1157.88] 那專案機立的部分
[1157.88 - 1158.14] 就是
[1158.14 - 1159.10] 我這邊負責
[1159.10 - 1160.54] 那就是本專案的相關
[1160.54 - 1161.14] 是你的
[1161.14 - 1162.42] 主要充口
[1163.04 - 1163.48] 對
[1164.14 - 1164.72] 技術主管
[1164.72 - 1165.10] 技術
[1165.10 - 1166.16] 審視這些
[1166.16 - 1167.34] 就是我們開發的
[1167.34 - 1168.92] 原本跟測試團隊
[1168.92 - 1170.78] 以及我們專案的過程
[1170.78 - 1171.70] 就好
[1171.70 - 1172.74] 就不用去
[1172.74 - 1174.44] 細向講裡面的東西
[1175.14 - 1175.20] 對
[1176.06 - 1176.74] 因為他們
[1176.74 - 1178.40] 其實也不太會去看
[1178.40 - 1180.06] 不太會去聽那麼細
[1180.06 - 1180.80] 他只要知道
[1180.80 - 1181.62] 怎麼聽
[1181.62 - 1182.82] 主要這個會議
[1182.82 - 1183.74] 是要讓大家知道
[1183.74 - 1185.04] 我們這個專案要開始
[1185.94 - 1186.38] 對
[1186.38 - 1187.26] 然後做一些
[1187.26 - 1188.42] 剪包的那個
[1188.42 - 1189.00] 這樣子
[1189.00 - 1189.40] 對
[1189.40 - 1189.94] 好
[1189.94 - 1190.38] 好
[1192.38 - 1193.92] 又今天還有我們要
[1193.92 - 1194.52] 對你這樣
[1194.52 - 1195.16] 知道的嗎
[1195.16 - 1195.70] 就是說
[1196.38 - 1197.48] 其實重點就是
[1197.48 - 1198.78] 不要講太多
[1199.38 - 1200.14] 講到現在
[1200.14 - 1200.86] 對
[1201.38 - 1201.56] 對
[1202.38 - 1203.74] 每一頁都不要講太多
[1203.74 - 1204.92] 你想要講重點
[1204.92 - 1205.64] 你可能就
[1205.64 - 1208.44] 稍微寫個下面
[1209.22 - 1211.10] 你要講重點
[1211.10 - 1212.06] 你先這樣寫
[1212.06 - 1212.58] OK
[1212.58 - 1213.48] 再問多不講
[1213.48 - 1213.78] 好
[1213.78 - 1215.00] 或者是你寫在被問搞
[1215.00 - 1216.36] 你可能猜寫
[1216.36 - 1217.78] 不可以猜被問搞的吧
[1217.78 - 1218.30] 對
[1218.30 - 1219.64] 觀眾大家都會看到
[1219.64 - 1220.98] 你被問搞寫的什麼
[1220.98 - 1221.22] 對
[1221.22 - 1221.80] 對
[1222.92 - 1223.36] 好
[1223.98 - 1224.42] 當然
[1224.42 - 1225.70] 如果你消化完
[1225.70 - 1227.54] 其實就不
[1227.54 - 1228.84] 不論特別去需要寫
[1229.32 - 1230.78] 你就是自己要知道
[1230.78 - 1231.84] 就像我剛才
[1231.84 - 1232.98] 說比較重要的人
[1232.98 - 1233.70] 你看紅子
[1233.70 - 1234.32] 但是
[1234.32 - 1235.78] 這些專案是長的
[1235.78 - 1236.86] 不用特別去紅子
[1236.86 - 1237.56] 還來出來
[1237.56 - 1238.66] 你就只要
[1238.66 - 1239.66] 他重點的
[1239.66 - 1240.56] 那一兩項講
[1240.56 - 1240.96] 就好
[1240.96 - 1243.76] 像這個寫的
[1243.76 - 1244.88] 都是從當初的
[1244.88 - 1245.28] SWD
[1245.28 - 1246.34] 結果來的
[1246.34 - 1247.70] 所以他會寫的
[1247.70 - 1248.16] 當時
[1248.76 - 1249.66] 我們講的時候
[1249.66 - 1250.94] 不用講那麼多
[1250.94 - 1251.38] 好的
[1251.98 - 1253.66] 稍微再消化一下
[1253.66 - 1254.34] 還有兩邊
[1254.34 - 1255.36] 好的
[1255.36 - 1255.98] 對
[1256.76 - 1258.34] 那大家先感那個了
[1259.12 - 1260.06] 專案指承
[1260.06 - 1260.90] 你用以色有貼
[1260.90 - 1262.74] 以色有直接接表
[1262.74 - 1263.16] 對
[1263.16 - 1265.36] 我去我的電腦上截
[1265.36 - 1266.56] 因為這些截不清楚
[1266.56 - 1267.24] 不是截圖
[1267.24 - 1268.98] 就是直接以色有拉下來
[1268.98 - 1269.74] 框起來
[1269.74 - 1270.90] 複製
[1270.90 - 1272.30] 然後貼剪爆的時候
[1272.30 - 1273.76] 選擇貼上圖片
[1274.60 - 1275.92] 這樣你就不會動到
[1275.92 - 1277.22] 那我真的要改嗎
[1277.22 - 1278.22] 這個預計蛇月
[1278.22 - 1279.30] 就原本的
[1279.30 - 1280.16] 就改吧
[1280.16 - 1280.92] 也不是
[1280.92 - 1281.68] 12號
[1281.68 - 1282.74] 12號錢
[1283.30 - 1283.76] 就要改嗎
[1283.76 - 1284.10] 不用啊
[1284.10 - 1285.20] 我們是12月前月
[1285.20 - 1285.66] 是他
[1285.66 - 1287.48] 他用意玩自約會好
[1287.48 - 1287.86] 好的
[1288.32 - 1288.90] 不改
[1289.72 - 1290.62] 因為我們本來
[1290.62 - 1291.58] 就拉1月開始
[1293.94 - 1295.48] 系統節約到12月
[1295.48 - 1296.80] 就拉1月開始
[1296.80 - 1297.58] 對
[1297.58 - 1298.44] 就這樣
[1298.90 - 1299.30] 好的
[1300.48 - 1300.88] 謝謝
[1300.88 - 1302.26] 謝謝大家
